Annotations,Phylum,Class,Order,Family,Genus,Species,Label,Functional Group
Tripos,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,,Tripos,Dinoflagellates 
Karenia,Myzozoa,Dinophyceae,Gymnodiniales,Kareniaceae,Karenia,,Karenia,Dinoflagellates 
Polykrikos,Myzozoa,Dinophyceae,Gymnodiniales,Polykrikaceae (,Polykrikos,,Polykrikos,Dinoflagellates 
Warnowia,Myzozoa,Dinophyceae,Gymnodiniales,Warnowiaceae,Warnowia,,Warnowia,Dinoflagellates 
Heterocapsa_rotundata,Myzozoa,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa rotundata,Heterocapsa,Dinoflagellates 
Oxytoxum,Myzozoa,Dinophyceae,Peridiniales,Oxytoxaceae,Oxytoxum,,Oxytoxum,Dinoflagellates 
Protoperidinium,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,Protoperidinium,Dinoflagellates 
Katodinium_or_Torodinium,Myzozoa,Dinophyceae,,,Katodinium/Torodinium,,Katodinium/Torodinium,Dinoflagellates 
Amphidinium,Myzozoa,Dinophyceae,Amphidiniales,Amphidiniaceae,Amphidinium,,Amphidinium,Dinoflagellates 
Amylax,Myzozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Amylax,,Amylax,Dinoflagellates 
Alexandrium_catenella,Myzozoa,Dinophyceae,Gonyaulacales,Pyrocystaceae,Alexandrium,Alexandrium catenella,Alexandrium,Dinoflagellates 
Akashiwo,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,,Akashiwo,Dinoflagellates 
Scrippsiella,Myzozoa,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Scrippsiella,,Scrippsiella,Dinoflagellates 
Dinobryon,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,,Dinobryon,Ochrophytes
Dictyocha,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,,Dictyocha,Ochrophytes
Pseudochattonella_farcimen,Ochrophyta,Dictyochophyceae,Florenciellales,Florenciellales incertae sedis,Pseudochattonella,Pseudochattonella farcimen,Pseudochattonella,Ochrophytes
Vicicitus_globosus,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Vicicitus,Vicicitus globosus,Vicicitus,Ochrophytes
Apedinella,Ochrophyta,Dictyochophyceae,Pedinellales,Actinomonadaceae,Apedinella,,Apedinella,Ochrophytes
Acantharia,Radiozoa,Acantharia,,,,,unknown Acantharia,Radiolarians
unknown2,,,,,,,,
